(1, 2.1905322074890137)
(2, 2.1822792291641235)
(3, 2.1769463221232095)
(4, 2.170426666736603)
(5, 2.1621453762054443)
(6, 2.1541030009587607)
(7, 2.1504202570234026)
(8, 2.1452517807483673)
(9, 2.1414178212483725)
(10, 2.136113238334656)
(11, 2.129456390034069)
(12, 2.1245601375897727)
(13, 2.1210556030273438)
(14, 2.1134593997682845)
(15, 2.1083821137746175)
(16, 2.104495331645012)
(17, 2.099386215209961)
(18, 2.092873500453101)
(19, 2.0838346293098047)
(20, 2.0760182321071623)
(21, 2.0672685645875477)
(22, 2.0588485815308313)
(23, 2.048171774200771)
(24, 2.0393234193325043)
(25, 2.02950047492981)
(26, 2.017139503589043)
(27, 2.003105088516518)
(28, 1.9895863362721034)
(29, 1.9755613351690358)
(30, 1.9608408729235332)
(31, 1.9427215668462938)
(32, 1.9245049804449081)
(33, 1.9061398831280796)
(34, 1.8901624258826761)
(35, 1.87491820199149)
(36, 1.8609859645366669)
(37, 1.8466930002779574)
(38, 1.828244215563724)
(39, 1.8125844368567834)
(40, 1.79828921854496)
(41, 1.7839398093339873)
(42, 1.7649727151507424)
(43, 1.7501024007797241)
(44, 1.739502028985457)
(45, 1.7272274361716375)
(46, 1.710961130650147)
(47, 1.6969764296044694)
(48, 1.6886488186816375)
(49, 1.6740172201273393)
(50, 1.6606223058700562)
(51, 1.6448354382140964)
(52, 1.6349043811743076)
(53, 1.62315859322278)
(54, 1.6127607149106484)
(55, 1.5996215679428794)
(56, 1.5916612989136152)
(57, 1.5860862407767982)
(58, 1.5760096568485786)
(59, 1.5679363668975184)
(60, 1.561002281308174)
(61, 1.5522644881342278)
(62, 1.5411608920943352)
(63, 1.5302099632838415)
(64, 1.520757139660418)
(65, 1.5116582485345693)
(66, 1.5018122169104489)
(67, 1.4957385890519441)
(68, 1.4865400598329657)
(69, 1.4797298148058462)
(70, 1.4726069910185677)
(71, 1.4637872383628092)
(72, 1.4557725364963214)
(73, 1.4518435842370334)
(74, 1.445920340918206)
(75, 1.4442462166150412)
(76, 1.4380757393021333)
(77, 1.4307274028852388)
(78, 1.4240279510999336)
(79, 1.4191504543340658)
(80, 1.4121151641011238)
(81, 1.4069857906412195)
(82, 1.40201091839046)
(83, 1.3959434542311244)
(84, 1.3919645923943746)
(85, 1.3865864522316877)
(86, 1.3817636793436006)
(87, 1.3770078859109989)
(88, 1.3735377382148395)
(89, 1.3697294452217188)
(90, 1.3648837705453236)
(91, 1.359323501586914)
(92, 1.3540943614814593)
(93, 1.3481535668014197)
(94, 1.3448188926311249)
